"FileName"	"Label"	"condition"	"element"	"material"	"control.type"	"dose"	"duration"	"replica"
"GSM1708897_NiNO3_EC20_3d_1.txt"	"Ni.NiNO3.EC20.3d.1"	"Ni.NiNO3.EC20.3d"	"Ni"	"NiNO3"	NA	"EC20"	3	1
"GSM1708898_NiNO3_EC20_3d_2.txt"	"Ni.NiNO3.EC20.3d.2"	"Ni.NiNO3.EC20.3d"	"Ni"	"NiNO3"	NA	"EC20"	3	2
"GSM1708899_NiNO3_EC20_3d_3.txt"	"Ni.NiNO3.EC20.3d.3"	"Ni.NiNO3.EC20.3d"	"Ni"	"NiNO3"	NA	"EC20"	3	3
"GSM1708900_NiNO3_EC50_3d_1.txt"	"Ni.NiNO3.EC50.3d.1"	"Ni.NiNO3.EC50.3d"	"Ni"	"NiNO3"	NA	"EC50"	3	1
"GSM1708901_NiNO3_EC50_3d_2.txt"	"Ni.NiNO3.EC50.3d.2"	"Ni.NiNO3.EC50.3d"	"Ni"	"NiNO3"	NA	"EC50"	3	2
"GSM1708902_NiNO3_EC50_3d_3.txt"	"Ni.NiNO3.EC50.3d.3"	"Ni.NiNO3.EC50.3d"	"Ni"	"NiNO3"	NA	"EC50"	3	3
"GSM1708903_Ni-NPs_EC20_3d_1.txt"	"Ni.Ni.NPs.EC20.3d.1"	"Ni.Ni.NPs.EC20.3d"	"Ni"	"Ni.NPs"	NA	"EC20"	3	1
"GSM1708904_Ni-NPs_EC20_3d_2.txt"	"Ni.Ni.NPs.EC20.3d.2"	"Ni.Ni.NPs.EC20.3d"	"Ni"	"Ni.NPs"	NA	"EC20"	3	2
"GSM1708905_Ni-NPs_EC20_3d_3.txt"	"Ni.Ni.NPs.EC20.3d.3"	"Ni.Ni.NPs.EC20.3d"	"Ni"	"Ni.NPs"	NA	"EC20"	3	3
"GSM1708906_Ni-NPs_EC50_3d_1.txt"	"Ni.Ni.NPs.EC50.3d.1"	"Ni.Ni.NPs.EC50.3d"	"Ni"	"Ni.NPs"	NA	"EC50"	3	1
"GSM1708907_Ni-NPs_EC50_3d_2.txt"	"Ni.Ni.NPs.EC50.3d.2"	"Ni.Ni.NPs.EC50.3d"	"Ni"	"Ni.NPs"	NA	"EC50"	3	2
"GSM1708908_Ni-NPs_EC50_3d_3.txt"	"Ni.Ni.NPs.EC50.3d.3"	"Ni.Ni.NPs.EC50.3d"	"Ni"	"Ni.NPs"	NA	"EC50"	3	3
"GSM1708909_CTNi_7d_1.txt"	"Ni.CT.7d.1"	"Ni.CT.7d"	"Ni"	NA	"CT"	NA	7	1
"GSM1708910_CTNi_7d_2.txt"	"Ni.CT.7d.2"	"Ni.CT.7d"	"Ni"	NA	"CT"	NA	7	2
"GSM1708911_CTNi_7d_3.txt"	"Ni.CT.7d.3"	"Ni.CT.7d"	"Ni"	NA	"CT"	NA	7	3
"GSM1708912_NiNO3_EC20_7d_1.txt"	"Ni.NiNO3.EC20.7d.1"	"Ni.NiNO3.EC20.7d"	"Ni"	"NiNO3"	NA	"EC20"	7	1
"GSM1708913_NiNO3_EC20_7d_2.txt"	"Ni.NiNO3.EC20.7d.2"	"Ni.NiNO3.EC20.7d"	"Ni"	"NiNO3"	NA	"EC20"	7	2
"GSM1708914_NiNO3_EC20_7d_3.txt"	"Ni.NiNO3.EC20.7d.3"	"Ni.NiNO3.EC20.7d"	"Ni"	"NiNO3"	NA	"EC20"	7	3
"GSM1708915_NiNO3_EC50_7d_1.txt"	"Ni.NiNO3.EC50.7d.1"	"Ni.NiNO3.EC50.7d"	"Ni"	"NiNO3"	NA	"EC50"	7	1
"GSM1708916_NiNO3_EC50_7d_2.txt"	"Ni.NiNO3.EC50.7d.2"	"Ni.NiNO3.EC50.7d"	"Ni"	"NiNO3"	NA	"EC50"	7	2
"GSM1708917_NiNO3_EC50_7d_3.txt"	"Ni.NiNO3.EC50.7d.3"	"Ni.NiNO3.EC50.7d"	"Ni"	"NiNO3"	NA	"EC50"	7	3
"GSM1708918_Ni-NPs_EC20_7d_1.txt"	"Ni.Ni.NPs.EC20.7d.1"	"Ni.Ni.NPs.EC20.7d"	"Ni"	"Ni.NPs"	NA	"EC20"	7	1
"GSM1708919_Ni-NPs_EC20_7d_2.txt"	"Ni.Ni.NPs.EC20.7d.2"	"Ni.Ni.NPs.EC20.7d"	"Ni"	"Ni.NPs"	NA	"EC20"	7	2
"GSM1708920_Ni-NPs_EC20_7d_3.txt"	"Ni.Ni.NPs.EC20.7d.3"	"Ni.Ni.NPs.EC20.7d"	"Ni"	"Ni.NPs"	NA	"EC20"	7	3
"GSM1708921_Ni-NPs_EC50_7d_1.txt"	"Ni.Ni.NPs.EC50.7d.1"	"Ni.Ni.NPs.EC50.7d"	"Ni"	"Ni.NPs"	NA	"EC50"	7	1
"GSM1708922_Ni-NPs_EC50_7d_2.txt"	"Ni.Ni.NPs.EC50.7d.2"	"Ni.Ni.NPs.EC50.7d"	"Ni"	"Ni.NPs"	NA	"EC50"	7	2
"GSM1708923_Ni-NPs_EC50_7d_3.txt"	"Ni.Ni.NPs.EC50.7d.3"	"Ni.Ni.NPs.EC50.7d"	"Ni"	"Ni.NPs"	NA	"EC50"	7	3
"GSM1708924_CTUV_1.txt"	"Uv.CT.5d.1"	"Uv.CT.5d"	"Uv"	NA	"CT"	NA	5	1
"GSM1708925_CTUV_2.txt"	"Uv.CT.5d.2"	"Uv.CT.5d"	"Uv"	NA	"CT"	NA	5	2
"GSM1708926_CTUV_3.txt"	"Uv.CT.5d.3"	"Uv.CT.5d"	"Uv"	NA	"CT"	NA	5	3
"GSM1708927_D1_1.txt"	"Uv.UV.D1.5d.1"	"Uv.UV.D1.5d"	"Uv"	"UV"	NA	"D1"	5	1
"GSM1708928_D1_2.txt"	"Uv.UV.D1.5d.2"	"Uv.UV.D1.5d"	"Uv"	"UV"	NA	"D1"	5	2
"GSM1708929_D1_3.txt"	"Uv.UV.D1.5d.3"	"Uv.UV.D1.5d"	"Uv"	"UV"	NA	"D1"	5	3
"GSM1708930_D2_1.txt"	"Uv.UV.D2.5d.1"	"Uv.UV.D2.5d"	"Uv"	"UV"	NA	"D2"	5	1
"GSM1708931_D2_2.txt"	"Uv.UV.D2.5d.2"	"Uv.UV.D2.5d"	"Uv"	"UV"	NA	"D2"	5	2
"GSM1708932_D2_3.txt"	"Uv.UV.D2.5d.3"	"Uv.UV.D2.5d"	"Uv"	"UV"	NA	"D2"	5	3
